tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
34013005200,"Upper Clinton Hill, Newark, NJ",0.3398,0,0,0
34013002300,"Lower Vailsburg, Newark, NJ",0.3393,0,0,0
34013012800,"Irvington, NJ",0.3386,0,0.239,0
34013022900,"University Heights, Newark, NJ",0.3386,0,0.2982,0
34017004600,"Bergen/Lafayette, Jersey City, NJ",0.3374,0,0.3131,0
34039034000,"Roselle, NJ",0.3372,0,0.2146,0.054
34013000800,"Lower Roseville, Newark, NJ",0.3371,0,0.2981,0
34013012000,"Irvington, NJ",0.3368,0.0369,0.3557,0.1098
34013018800,"City of Orange, NJ",0.3363,0,0,0
34039038900,"Plainfield, NJ",0.3363,#N/A,#N/A,#N/A
34031181300,"Paterson, NJ",0.3347,0,0.3353,0
34013013000,"Irvington, NJ",0.3329,0,0,0
36085009700,"Richmond County, NY",0.3314,#N/A,#N/A,#N/A
34013015600,"Bloomfield, NJ",0.3307,0,0.2539,0.0237
34013011700,"East Orange, NJ",0.329,0,0,0
36085007700,"Richmond County, NY",0.3276,#N/A,#N/A,#N/A
34039034500,"Linden, NJ",0.3253,0,0.1869,0.0155
36085010500,"Richmond County, NY",0.3247,#N/A,#N/A,#N/A
34017004101,"West Side, Jersey City, NJ",0.3239,0.0809,0.2874,0.1311
34013012900,"Irvington, NJ",0.3223,0,0.5337,0
34039032001,"Elizabeth, NJ",0.3221,0,0.1644,0.1116
34031182700,"Paterson, NJ",0.3183,0,0.3193,0.0847
42103950801,"Pike County, PA",0.317,#N/A,#N/A,#N/A
34039039900,"Elizabeth, NJ",0.3167,0,0.3548,0
36085032300,"Richmond County, NY",0.3139,#N/A,#N/A,#N/A
42089301401,"East Stroudsburg, PA",0.3138,0,0,0.0987
34039038800,"Plainfield, NJ",0.3136,#N/A,#N/A,#N/A
34013006400,"University Heights, Newark, NJ",0.3132,0,0,0
36085031902,"Richmond County, NY",0.313,#N/A,#N/A,#N/A
34039031100,"Elizabeth, NJ",0.3127,0,0.2587,0.1605
34017005600,"Greenville, Jersey City, NJ",0.3124,0.0582,0.2323,0.1604
34013009900,"East Orange, NJ",0.3106,0,0,0
36085022300,"Richmond County, NY",0.3099,#N/A,#N/A,#N/A
34013018700,"City of Orange, NJ",0.3095,0,0.1,0
34013002201,"Upper Vailsburg, Newark, NJ",0.3092,0.151,0.2113,0.0144
36085008100,"Richmond County, NY",0.3038,#N/A,#N/A,#N/A
34013008700,"Mount Pleasant/Lower Broadway, Newark, NJ",0.3021,0,0.3304,0
34003023602,"Hackensack, NJ",0.3017,0,0.1892,0.067
34039034600,"Linden, NJ",0.3011,#N/A,#N/A,#N/A
34013009500,"Forest Hill, Newark, NJ",0.2997,0,0.2201,0.0182
34013010100,"East Orange, NJ",0.2995,0,0,0
34013018200,"City of Orange, NJ",0.2995,0,0.2237,0
34013017800,"West Orange, NJ",0.2991,0,0.122,0.145
34039030702,"Elizabeth, NJ",0.2975,0.008,0.2651,0.1145
34013002202,"Upper Vailsburg, Newark, NJ",0.2942,0,0.1405,0
34039031602,"Elizabeth, NJ",0.293,0,0.2797,0.0554
34039032200,"Hillside, NJ",0.2929,0,0.2847,0
34031175500,"Passaic, NJ",0.2907,0,0.3125,0.3247
34013012500,"Irvington, NJ",0.2906,0,0.6691,0
34039032800,"Union County, NJ",0.2897,0,0,0.0257
34013010000,"East Orange, NJ",0.2868,0,0,0
34039031903,"Elizabeth, NJ",0.2862,0,0.2173,0.1083
34013008900,"Seventh Avenue, Newark, NJ",0.286,0,0.3079,0
34013015400,"Bloomfield, NJ",0.284,0,0.0265,0.1302
34039035100,"Linden, NJ",0.283,#N/A,#N/A,#N/A
34013002100,"Upper Vailsburg, Newark, NJ",0.2786,0,0.151,0
34013011900,"Irvington, NJ",0.278,0,0.1351,0
34017005400,"Greenville, Jersey City, NJ",0.2766,0.0253,0.2219,0
34013012100,"Irvington, NJ",0.2765,0,0.3283,0.1196
34017004900,"West Side, Jersey City, NJ",0.2711,0.0039,0.1695,0
34039033500,"Union, NJ",0.2704,0,0.0599,0.0122
36085007500,"Richmond County, NY",0.2702,#N/A,#N/A,#N/A
34039031802,"Elizabeth, NJ",0.2699,0,0.2143,0.1137
