tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
24510260101,"Cedmont, Baltimore, MD",0.4994,0,0,0.1695
24510200200,"Lexington, Baltimore, MD",0.4993,0,0,0
24510270402,"Glenham-Belford, Baltimore, MD",0.4981,0,0,0.1153
24510150400,"Mondawmin, Baltimore, MD",0.4967,0,0,0
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.4961,0,0,0.2259
24510200702,"Saint Joseph's, Baltimore, MD",0.4947,0,0,0
24510271002,"Winston - Govans, Baltimore, MD",0.491,0,0,0
24510260301,"Belair - Edison, Baltimore, MD",0.4909,0,0,0.0881
24005430900,"Baltimore, MD",0.4882,0.0013,0,0.1839
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.4848,0,0,0
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.4839,#N/A,#N/A,0
24510270101,"Arcadia, Baltimore, MD",0.481,0,0,0.0272
24510160802,"Edmondson, Baltimore, MD",0.4769,0,0,0
24510270501,"Woodring, Baltimore, MD",0.4768,0,0,0.1048
24005451500,"Middle River, MD",0.4763,0,0,0.2475
24510151200,"Park Circle, Baltimore, MD",0.4756,0,0,0
24510130400,"Woodbrook, Baltimore, MD",0.4729,0,0,0
24510250401,"Brooklyn, Baltimore, MD",0.4727,0,0,0.1954
24510200701,"Allendale, Baltimore, MD",0.4708,0,0,0
24005421300,"Dundalk, MD",0.469,0,0,0.254
24510160801,"Edmondson, Baltimore, MD",0.4672,0,0,0
24510190200,"Pratt Monroe, Baltimore, MD",0.4657,0,0,0.3647
24510260302,"Belair - Edison, Baltimore, MD",0.4654,0,0,0.1348
24510180200,"Poppleton, Baltimore, MD",0.4638,0,0,0
24510280200,"Gwynn Oak, Baltimore, MD",0.4637,0,0,0
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.4629,0,0,0
24005400800,"Catonsville, MD",0.4624,0,0,0.13
24510180100,"Poppleton, Baltimore, MD",0.462,0,0,0
24510260202,"Parkside, Baltimore, MD",0.4601,0,0,0.078
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.4592,0,0,0
24510270102,"Waltherson, Baltimore, MD",0.4586,0,0,0.1125
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.4585,0,0,0
24510260201,"Frankford, Baltimore, MD",0.4581,0,0,0.2013
24510150702,"Walbrook, Baltimore, MD",0.4573,0,0,0
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.4527,0,0,0.2763
24510250101,"Beechfield, Baltimore, MD",0.4524,0,0,0.131
24005491100,"Baltimore, MD",0.4517,#N/A,#N/A,0.0231
24510151000,"Dorchester, Baltimore, MD",0.4476,0,0,0
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.4454,0,0,0.1719
24005450504,"Essex, MD",0.44,0,0.3326,0.2414
24510271700,"Central Park Heights, Baltimore, MD",0.4375,0,0,0
24510150701,"Hanlon Longwood, Baltimore, MD",0.4369,0,0,0
24510270901,"New Northwood, Baltimore, MD",0.4356,0,0,0
24510280404,"Irvington, Baltimore, MD",0.4303,0,0,0
24005430400,"Halethorpe, MD",0.4302,0,0,0.1475
24510250102,"Yale Heights, Baltimore, MD",0.429,0,0,0.1285
24005440701,"Rosedale, MD",0.4274,0.0618,0,0.1376
24003750101,"Brooklyn Park, MD",0.4245,0,0,0.2979
24510270802,"Ramblewood, Baltimore, MD",0.4236,0,0,0.0761
24510270502,"North Harford Road, Baltimore, MD",0.4227,0,0,0.0695
24510160700,"Rosemont, Baltimore, MD",0.4187,0,0,0
24005441000,"Baltimore, MD",0.418,0,0,0.0802
24510280402,"Rognel Heights, Baltimore, MD",0.417,0,0,0
24005491401,"Parkville, MD",0.4149,#N/A,#N/A,0.1975
24510250500,"Curtis Bay, Baltimore, MD",0.4118,0,0,0.3399
24005451402,"Middle River, MD",0.4109,0,0,0.2827
24003750803,"Glen Burnie, MD",0.4104,0.0456,0.4076,0.2529
24005451401,"Middle River, MD",0.4087,0,0,0.2654
24510150900,"Windsor Hills, Baltimore, MD",0.4082,0,0,0
24510271900,"Glen, Baltimore, MD",0.4031,0,0,0.0336
24005450503,"Essex, MD",0.4028,0,0,0.2677
24510250205,"Lakeland, Baltimore, MD",0.4026,0,0,0.3149
24003750201,"Brooklyn, Baltimore, MD",0.4025,0,0,0.1562
24005402407,"Windsor Mill, Milford Mill, MD",0.4007,0,0,0.0155
24005402404,"Gwynn Oak, Lochearn, MD",0.4,0,0,0.1775
24510280101,"Reisterstown Station, Baltimore, MD",0.3982,0,0,0
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3958,0,0,0.1627
24510260102,"Frankford, Baltimore, MD",0.3937,0,0,0.106
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.3902,0,0,0.033
24510270804,"Lake Walker, Baltimore, MD",0.3898,#N/A,#N/A,0.0527
24510280403,"Westgate, Baltimore, MD",0.3894,0,0,0.0434
24510270401,"Glenham-Belford, Baltimore, MD",0.389,0,0,0.1236
24510270805,"Mid-Govans, Baltimore, MD",0.3885,0,0,0.0823
24510272007,"Fallstaff, Baltimore, MD",0.3858,0,0,0.0248
24510272003,"Baltimore, MD",0.3852,0,0,0.016
24510260203,"Frankford, Baltimore, MD",0.3829,0,0,0.063
24510110100,"Downtown, Baltimore, MD",0.3824,0,0,0
24510272005,"Cross Country, Baltimore, MD",0.382,0,0,0.0114
24005451300,"Middle River, MD",0.3816,0,0,0.2911
